N° dépôt;N° caisse;Commune;Année;N° cant;Lieu-dit;N° terrain;Récolement LM 2021;Matière ;Caractéristique;Description de l'objet ;Nombre;Notes;ramassage surface;Déblais;couche;situation;altitude;Localisation en mètre Nord;Localisation en mètre Sud;N° St;Déc.;UF;Date de découverte;Période culturelle;Datation;Année de restauration;Etat de conservation;N° Photos;A;Fiche ITMS oui;Fiche ITMS non;Publication;Dessin (+ échelle);Inventorier le, par Nom / date;Envoi restauration;Retour restauration;Remarques
Spira;6;CHE;2013;1868;BR;1;x;lit;silex;grattoir ?;;;;;;R II;;;;387;;H21;30.juil;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1869;BR;1;x;lit;silex;pointe;;;;;;R II;;;;387;;H21;30.juil;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1870;BR;3899;x;lit;silex;éclat;;;;;3;;;;;;;J11;08.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1871;BR;4195;x;lit;silex;éclat cortical;;;;X;;;;;;;;J20;29.juil;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1872;BR;6;x;lit;silex;éclat cortical;;;;;;R II;;;;396;;J24;09.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1873;BR;1;x;lit;silex;éclat;;;;;;;;;;410;0;J25;20.août;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1874;BR;3919;x;lit;silex;éclat cortical;;;;;02.mars;;;;;;;L11;22.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1875;BR;4;x;lit;silex;éclat cortical;;;;;;R I;;;;310;0;N / O 9;16.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1876;BR;11;x;lit;silex;nucléus;;;;;;;;;;310;1 est;N / O 9;23.avr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1877;BR;4002;x;lit;silex;1 lamelle;;;;X;;proximité sd 12;;;;;;;20.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1878;BR;4010;x;lit;silex;fragment lame / lamelle;;;;;02.févr;sd 12 côté est, cpe nord-sud ;;;;;;;11.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1879;BR;2;x;lit;silex;éclat;;;;;;sd 21;;;;363;vidange W fond;;14.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1880;BR;3952;x;lit;silex;éclat;;;;;02.avr;sd 22;;;;;;;23.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1881;BR;3977;x;lit;silex;nucléus?;;;;;3;base sd 22;;;;;;;04.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1883;BR;1;x;lit;silex;petit grattoir ?;;;;;;sd 23;;;;379;0;;23.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1884;BR;4038;x;lit;silex;fragment de lame retouchée;;;;;02.04.2003;sd 23;;;;;;;23.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1885;BR;4039;x;lit;silex;nucléus;;;;;4;sd 23;;;;;;;20.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1886;BR;4039;x;lit;silex;éclat cortical;;;;;4;sd 23;;;;;;;20.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1887;BR;4051;x;lit;silex;nucléus;;;;;4;sd 24;;;;;;;21.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1888;BR;4071;x;lit;silex;fragment lamelle;;;;;2;sd 24;;;;;;;27.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1889;BR;3833;x;lit;silex;fragment lame;;;;X;;terrasse nord-ouest;;;;;;;02.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1890;BR;115;x;lit;silex;petit rognon;;;;;;m14;;;;257;0;B11;21.févr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1891;BR;137;x;lit;silex;éclat retouché;;;;;;m14;;;;257;0;B11;27.févr;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1892;BR;151;x;lit;silex;éclat cortical;;;;;;m19;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1893;BR;159;x;lit;silex;racloir;;;;;;m11;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1894;BR;165;x;lit;silex;couteau à dos;;;;;;m10;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1895;BR;165;x;lit;silex;éclat;;;;;;m10;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1896;BR;174;x;lit;silex;éclat;;;;;;m9;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1897;BR;177;x;lit;silex;pièce à encoche ?;;;;;;m18;;;;257;1;B11;04.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1898;BR;185;x;lit;silex;éclat cortical;;;;;;m22;;;;257;1;B11;05.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1899;BR;190;x;lit;silex;éclat cortical;;;;;;m13 ;;;;257;1;B11;05.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1900;BR;190;x;lit;silex;éclat;;;;;;m13 ;;;;257;1;B11;05.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1901;BR;190;x;lit;silex;éclat;;;;;;m13 ;;;;257;1;B11;05.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1902;BR;203;x;lit;silex;éclat;;;;;;m17 sud;;;;257;1;B11;05.mars;;;;;;;;;;;lm 2014-15;;;
