N°_dépôt;N°_caisse;Localité;Année;N°_cantonal;Lieu-dit;N°_terrain;Récolement_LM_2021;Matière;Caractéristique;Description_de_l'objet;Ramassage_surface;Déblais;N°_couche;Situation;Altitude;Loc_Nord;Loc_Sud;N°_structure;N°_décapage;UF;Date_découverte;Période_culturelle;Datation;Année_de_restauration;Etat_de_conservation;N°_Photos_DE;Fiche_ITMS_oui;Fiche_ITMS_non;Publication;Dessin_(+_échelle);Inventorier_le,_par_Nom_/_date;Envoi_MR;Remarque_restauration;Retour_MR;Remarque
Spira;33;CHE;2012;7892;BR;472;x;lit;sil;lamelle;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7893;BR;472;x;lit;sil;fragment lamelle;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7894;BR;472;x;lit;sil;fragment lamelle;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7895;BR;472;x;lit;sil;fragment lamelle;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7896;BR;472;x;lit;sil;fragment lamelle retouché;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7897;BR;472;x;lit;sil;lamelle corticale;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7898;BR;472;x;lit;sil;fragment lamelle corticale;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7899;BR;472;x;lit;sil;esquille;;;3;base;;;;;;B4;15.05;;;;;;;;;;;;;;
Spira;33;CHE;2012;7900;BR;682;x;lit;sil;fragment lamelle;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7901;BR;682;x;lit;sil;éclat;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7902;BR;682;x;lit;sil;éclat;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7903;BR;682;x;lit;sil;éclat;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7904;BR;682;x;lit;sil;éclat;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7905;BR;682;x;lit;sil;éclat cortical;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7906;BR;682;x;lit;sil;esquille;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7907;BR;683;x;lit;sil;éclat cortical;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7908;BR;684;x;lit;sil;éclat cortical;;;3;;;;;;;A-B5;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7909;BR;722;x;lit;sil;fragment lame corticale;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7910;BR;722;x;lit;sil;pointe retouchée à tronquature;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7911;BR;722;x;lit;sil;éclat;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7912;BR;722;x;lit;sil;éclat cortical;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7913;BR;722;x;lit;sil;éclat cortical;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7914;BR;722;x;lit;sil;éclat;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7915;BR;722;x;lit;sil;éclat;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7916;BR;722;x;lit;sil;esquille;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7917;BR;722;x;lit;sil;esquille;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7918;BR;722;x;lit;sil;lamelle retouchée à tronquature;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7919;BR;722;x;lit;sil;fragment lame;;;3;;;;;;;B6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7920;BR;976;x;lit;sil;éclat;;;3;base;;;;;;B7;29.05;;;;;;;;;;lm 2014;;;;
